,disease_areas,adverse_effect,different,matched,hypergeom_probs
79,threatened labour,foetal exposure timing unspecified,2,1,3.671296579173881e-05
80,carotid artery dissection,fracture of penis,1,1,2.4475310530639104e-05
81,social anxiety disorder,gambling disorder,31,11,1.1941118106241967e-33
82,venoocclusive liver disease,gastroenteritis adenovirus,5,2,1.3477923718746097e-08
83,gastrointestinal stromal tumour,gastrointestinal stromal tumour,60,21,1.7935987546176572e-61
84,geotrichum infection,geotrichum infection,2,3,1.759448289899053e-13
85,ovarian failure,glioblastoma multiforme,4,2,1.0782338980470743e-08
86,attention deficit,gynaecomastia,1232,562,0.0
87,hyperactivity disorder,gynaecomastia,1232,562,0.0
88,cerebellar infarction,haemorrhagic cerebral infarction,7,2,3.773541536958179e-08
89,breast cancer female,hair colour changes,165,45,3.567967596970491e-96
90,breast cancer female,hair disorder,137,45,7.985002175218641e-103
91,chemotherapy,hair disorder,193,52,1.4831783365436642e-112
92,iridocyclitis,hair follicle tumour benign,6,2,8.38667419197169e-09
93,breast cancer female,hair texture abnormal,167,45,8.895135441298057e-96
94,henoch-schonlein purpura nephritis,henoch-schonlein purpura nephritis,3,1,7.342413444296117e-05
95,hepatosplenic t-cell lymphoma,hepatosplenic t-cell lymphoma,1,2,8.98572234913985e-10
96,hereditary angioedema,hereditary angioedema,55,38,5.343831038812321e-114
97,limbic encephalitis,herpes simplex encephalitis,3,1,4.8950621059221666e-05
98,herpes simplex oesophagitis,herpes simplex oesophagitis,1,5,1.9764085301085786e-22
99,kidney infection,herpes simplex oesophagitis,14,5,1.6931174123755235e-18
100,urethritis,herpes simplex oesophagitis,3,5,4.150356324151894e-21
101,hidradenitis,hidradenitis,46,20,3.422856248931979e-59
102,choriocarcinoma,human chorionic gonadotropin increased,1,1,2.4475310529610962e-05
103,gastrointestinal disorder,hyperchlorhydria,219,68,8.160079594103136e-141
104,hyperpyrexia,hypergammaglobulinaemia,6,2,2.695452788881281e-08
105,dermatitis diaper,hypertensive encephalopathy,3,1,7.342413445140035e-05
106,postpartum haemorrhage,hyperthermia malignant,3,1,7.342413445140035e-05
107,alloimmunisation,hypocapnia,7,2,3.773541536958179e-08
108,anuria,hyponatraemic syndrome,3,1,4.895062106333458e-05
109,eye irrigation,hypopyon,26,9,1.3778706760881935e-29
110,immunoglobulin g4 related disease,immunoglobulin g4 related disease,0,4,5.383143914667321e-19
111,graft infection,implant site inflammation,3,2,5.3913014488763e-09
112,intestinal transplant,intestine transplant rejection,4,3,8.797026122189983e-13
113,abortion spontaneous,iodine allergy,2,1,3.671296579441629e-05
114,isosporiasis,isosporiasis,1,3,4.3986745547106336e-14
115,leptospirosis,jarisch-herxheimer reaction,3,2,2.995240782930478e-09
116,progressive multiple sclerosis,joint hyperextension,3,1,4.8950621059221666e-05
117,lymphocytosis,legionella infection,3,1,7.342413445140035e-05
118,retinoblastoma,lenticular opacities,4,2,1.0782338980470743e-08
119,leprosy,leprosy,3,1,7.342413444296117e-05
120,osteopenia,low turnover osteopathy,134,54,1.5661319286993304e-138
121,substance use,lower urinary tract symptoms,10,8,1.1747922484691341e-29
122,anaplastic large cell lymphoma t- and null-cell types,lymphomatoid papulosis,3,1,4.895062106333458e-05
123,peyronie,malignant melanoma stage iv,3,1,7.342413444296117e-05
124,mantle cell lymphoma recurrent,mantle cell lymphoma recurrent,3,1,7.342413444296117e-05
125,graft versus host disease in liver,mean cell haemoglobin concentration increased,4,2,1.0782338980470743e-08
126,graft infection,mediastinal abscess,7,2,2.5158175128182815e-08
127,meningitis viral,meningitis viral,11,3,1.2578669650579297e-11
128,metastases to skin,metastases to skin,6,2,2.695452788898499e-08
129,rheumatoid factor,mixed connective tissue disease,2,1,4.895002202786942e-05
130,mycobacterium chelonae infection,mycobacterium chelonae infection,2,1,3.671296579441629e-05
131,oesophageal spasm,mycotic aneurysm,3,1,7.342413444296117e-05
132,asymptomatic hiv infection,neonatal aspiration,3,2,5.3913014488763e-09
133,prophylaxis of abortion,neonatal hypotension,26,9,1.7629518477876753e-28
134,graft versus host disease in lung,nocardiosis,10,4,1.9242619793770983e-15
135,s lymphoma recurrent,non-hodgkins lymphoma recurrent,3,1,7.342413445140035e-05
136,haemarthrosis,nutritional condition abnormal,4,2,4.492861174569937e-09
137,non-24-hour sleep-wake disorder,obstructive pancreatitis,3,1,7.342413445140035e-05
138,h1n1 influenza,obstructive uropathy,3,1,7.342413445140035e-05
139,occupational exposure to product,occupational exposure to product,6,2,8.386674192530534e-09
140,migraine with aura,oesophageal obstruction,17,5,7.82769493456373e-17
141,intraoperative care,osteochondrosis,9,3,1.8470363728421572e-11
142,osteosarcoma metastatic,osteosarcoma metastatic,1,1,2.4475310530639104e-05
143,non-renal cell carcinoma of kidney,ototoxicity,12,5,2.0383359973853312e-19
144,in vitro fertilisation,ovarian hyperstimulation syndrome,9,3,1.319376282678975e-11
145,ovulation induction,ovarian hyperstimulation syndrome,7,2,4.492201396444329e-08
146,transgender hormonal therapy,overlap syndrome,6,2,1.8868862278072622e-08
147,intestinal transplant,pancreas transplant rejection,5,2,1.347792371922627e-08
148,chronic graft versus host disease in skin,parainfluenzae virus infection,11,3,1.2578669650579297e-11
149,exposure via body fluid,paternal drugs affecting foetus,1,4,2.6915719571162194e-18
150,procedural haemorrhage,peak expiratory flow rate decreased,2,1,3.671296579441629e-05
151,humerus fracture,peptic ulcer perforation,2,1,3.671296579173881e-05
152,aneurysm,peripheral artery aneurysm,7,3,7.696550053407298e-12
153,peripheral t-cell lymphoma unspecified,peripheral t-cell lymphoma unspecified,8,4,1.6954413131532342e-15
154,phaehyphomycosis,phaehyphomycosis,1,2,8.98572234913985e-10
155,mediastinitis,pharyngeal abscess,2,1,4.895002202786942e-05
156,blister infected,phobia,10,5,9.891924693193381e-20
157,exposure during breast feeding,phosphorus metabolism disorder,3,1,7.342413444296117e-05
158,quadriplegia,pneumonia escherichia,2,1,4.895002202786942e-05
159,polyarteritis nodosa,polyarteritis nodosa,5,2,1.797012510695803e-08
160,polypoidal choroidal vasculopathy,polypoidal choroidal vasculopathy,1,2,8.98572234848452e-10
161,therapeutic embolisation,post embolisation syndrome,3,1,7.342413444296117e-05
162,colorectal cancer recurrent,post procedural sepsis,6,4,3.391173142716958e-16
163,colorectal cancer recurrent,postoperative abscess,4,4,9.42015597753927e-17
164,subarachnoid haemorrhage,product compounding quality issue,2,1,4.895002202786942e-05
165,general anaesthesia,product tampering,69,24,5.217089545423762e-69
166,mechanical ventilation,propofol infusion syndrome,7,3,6.157390754493246e-12
167,psoriasis,psoriasis,1826,542,0.0
168,aura,psychotic symptom,10,3,9.676018160672626e-12
169,gastrointestinal disorder,rebound effect,195,68,5.430233075972942e-149
170,substance use,reduced bladder capacity,8,8,2.61116074100085e-31
171,refractory anaemia with an excess of blasts,refractory anaemia with an excess of blasts,3,1,7.342413444296117e-05
172,small cell carcinoma,retinal depigmentation,2,1,4.895002202786942e-05
173,congenital retinoblastoma,retinal pigment epitheliopathy,5,5,8.300915826456101e-21
174,craniotomy,scan abnormal,2,1,3.671296579173881e-05
175,scedosporium infection,scedosporium infection,6,3,9.237216564892391e-13
176,ovarian cancer stage iv,scleroderma renal crisis,3,1,7.342413445140035e-05
177,peyronie,scrotal erythema,2,1,3.671296579173881e-05
178,intraoperative care,sense of oppression,10,3,2.638526507568164e-11
179,sickle cell anaemia,sickle cell anaemia with crisis,27,8,1.5262363547187963e-25
180,trigger finger,soft tissue swelling,4,2,8.98539244525997e-09
181,dermal cyst,somatic delusion,3,3,4.3985668920014703e-13
182,tinea infection,somatic delusion,7,3,6.157390755297212e-12
183,eustachian tube dysfunction,speech sound disorder,3,3,4.3985668920014703e-13
184,stiff person syndrome,stiff person syndrome,2,2,2.6956837138191513e-09
185,adjustment disorder with mixed anxiety and depressed mood,sweat discolouration,3,5,4.150356324468322e-21
186,s arteritis,takayasus arteritis,3,4,4.037259114568763e-17
187,takayasu,takayasus arteritis,3,4,4.037259114568763e-17
188,skin test,therapeutic product cross-reactivity,9,3,7.257102441995147e-12
189,prophylaxis of abortion,thrombocytopenia neonatal,28,9,7.489060789039161e-28
190,eye irrigation,toxic anterior segment syndrome,9,3,2.4192710051538783e-12
191,s lymphoma recurrent,transformation to acute myeloid leukaemia,3,1,7.342413445140035e-05
192,acute lymphocytic leukaemia refractory,transfusion-related acute lung injury,3,1,7.342413444296117e-05
193,leiomyosarcoma metastatic,tumour pseudoprogression,3,1,7.342413445140035e-05
194,lepromatous leprosy,type 2 lepra reaction,2,2,2.6956837138191513e-09
195,type 2 lepra reaction,type 2 lepra reaction,3,1,7.342413445140035e-05
196,visceral leishmaniasis,type 2 lepra reaction,2,1,3.671296579441629e-05
197,general anaesthesia,unwanted awareness during anaesthesia,66,25,7.127753799835924e-74
198,hypomania,verbal abuse,7,3,7.696550053407298e-12
199,gene mutation,virilism,1,1,2.4475310529610962e-05
200,visceral leishmaniasis,visceral leishmaniasis,3,1,4.8950621059221666e-05
201,ovarian failure,vith nerve paralysis,7,2,3.773541536958179e-08
202,vulvovaginal mycotic infection,vulvovaginal burning sensation,48,35,4.5686762495914895e-100
203,vulvovaginal mycotic infection,vulvovaginal swelling,58,18,1.7168908157605232e-48
204,blood immunoglobulin g decreased,wrong device used,2,1,4.895002202786942e-05
